date,rating,role,location,title,body,pros,cons,work_life_balance,pay_and_benefits,job_security,management,culture
2024년 11월 19일,3,Specialist (전 직원),"Toronto, ON",Good pay but toxic environment,"The pay and training is nice but environment is toxic
Will not recommend to apply for the the specialist jobs in store
Head office jobs might be different my experience is as a retail job",,,,,,,
2024년 11월 19일,2,asesor de ventas (전 직원),bus,la verdad solo quiero leer reseñas,"no lo recomiendo , pero si no tienes de otra adelante,
las cosas no irán siempre como las platican ,,las métricas llegan a ser a veces incoherentes con el merado que atiendes",,,,,,,
2024년 11월 19일,5,Tier 1 Technical Support (전 직원),"Cary, NC","Fun place to work, opportunity to grow","Very well put together company. You are able to enjoy a nice view also along with a cafeteria and bistro. The work isn’t too bad, the regular ole customer service experience but they make it worth it.",,,,,,,
2024년 11월 17일,4,Sales Professional (전 직원),"Houston, TX","Good, but not a dream","The benefits are good, your peers are better, and sometimes management has your back. However, it has turned into a money grab, depending on the market you're in.",,,,,,,
2024년 11월 17일,4,Product Sales Specialist (현 직원),Southampton,"Great place to work, moving up can be difficult","I’m a base level sales specialist on the shop floor in Apple Retail. Compared to other retail jobs there are more benefits to working for Apple vs others. The base pay and benefits are slightly above average for retail, but this is because there is no commission or bonuses. After being with Apple for 9 years, I wish there was a commission or bonuses structure because there’s very little incentive to perform.

Going for a new job role hinges entirely on the interview, they try to remain completely unbiased and don’t take your behaviours (good or bad) into account during interviews. There are people in positions in my store who REALLY should not be there because they do not exemplify good customer service, work ethic, product knowledge or willingness to improve, but they covered the points in the interview and that’s all that matters.

This is very discouraging to apply to new roles. Also along with the being no monetary incentives for performance and the base pay being above average makes it difficult to leave. It feels like there will be lots of opportunities to move up but in practicality it is difficult to do so which means you’re locked in with golden handcuffs.","Overall pay and benefits are good, generally attracts good people.",You have to play EXACTLY by their own rule book to move up the chain.,,,,,
2024년 11월 17일,4,Specialist (전 직원),,Good Place To Work,"Pretty good place to work, with benefits, meet pretty amazing people. Management can sometimes be unorganized/ not educated enough on technology however there’s always someone you can find for any questions that need answers. Definitely a plus to have an experience to work with Apple",,,,,,,
2024년 11월 17일,4,Spécialiste (전 직원),Paris (75),Bonne expérience,J’y ai bossé lorsque j’étais étudiante. Mon emploi du temps a pu être adapté à mes cours ce qui est génial. C’est une excellente manière de développer ses connaissances grâce à la diversité de personnalités chez les employés. J’ai bien aimé mon passage là-bas,,,,,,,
2024년 11월 15일,2,Tier 2 Technical Support Specialist (전 직원),Remote,they are making me write a review just to read reviews,"Apple is definitely an amazing job to get or have but it comes with the mental strain, stress, and pressure from management and sometimes customers. Management absolutely sucks and clearly have favorites. And some customers are just so very stuck up and rude.",,,,,,,
2024년 11월 13일,2,Customer Support Representative (전 직원),cork,"good pay great benefits, no agency","campus is amazing, healthcare coverage is the best in the country, pay is good and the apple stock plan very advantageous, however promotions are a d-sucking contest unrelated to competence, and if you have any good ideas to better the customer’s experience or your colleague’s day to day work you might as well scream into the void. you’re just a cog in the machine",good,nothing,,,,,
2024년 11월 13일,2,Customer Support Representative (전 직원),cork,"good pay great benefits, no agency","campus is amazing, healthcare coverage is the best in the country, pay is good and the apple stock plan very advantageous, however promotions are a d-sucking contest unrelated to competence, and if you have any good ideas to better the customer’s experience or your colleague’s day to day work you might as well scream into the void. you’re just a cog in the machine",,,,,,,
2024년 11월 13일,3,Specialist (전 직원),"The grove, CA",Fun place to work and really good benefits but management is terrible.,"Apple is definitely an amazing job to get or have but it comes with the mental strain, stress, and pressure from management and sometimes customers. Management absolutely sucks and clearly have favorites. And some customers are just so very stuck up and rude.",,,,,,,
2024년 11월 12일,3,Floor Staff (전 직원),"Cork, County Cork",Productive and fun,It wasn't all bad. Work 3 days on. Four days off. I enjoyed it. I would recommend for a period. You can listen to bluetooth. A lot people like to work with the white bags,,,,,,,
2024년 11월 12일,3,Customer Service Specialist/Remote (현 직원),"Austin, TX",This has been a great learning experience but the pay does not reflect the company's success.,"What is the best part of working at the company?
The health benefits are excellent.

What is the most stressful part about working at the company?
Working with demanding customers and managers.

What is the work environment and culture like at the company?
The store environment is very hectic, but you learn a lot about the products. I now work from home, which is great, but there are fewer opportunities for advancement.

What is a typical day like for you at the company?
I answer calls about delayed or missing deliveries and provide solutions. I document each interaction and transfer callers to other departments when necessary.",,,,,,,
2024년 11월 10일,4,Project Manager (전 직원),California,good,"good
all good
nothing in specific at this moment to tell negatively about this company.
Every opportunity I got to work in this company found so great. Yes, there were challenges at times, but they are situational and work demanded. So all good.",good,nothing,,,,,
2024년 11월 10일,1,Customer Service Representative (전 직원),Remote,"Hard work, bad culture","Hard work, good benefits, but the culture has transformed into something toxic. You can do exactly as your manager says but still be marked wrong for no reason.",,,,,,,
2024년 11월 8일,5,Specialist (전 직원),"Boca Raton, FL",Great work environment,"Great work environment, people is always in a good mood. Everything is very open mind and you have many many benefits from the corporation. Overall is a great place to work",,,,,,,
2024년 11월 8일,4,Specialist (전 직원),Charlestown NSW,Inclusive and Collaborative,"Overall this is a great position, however the pacing is very quick and you'll have to be extremely driven to do well. I found myself constantly thinking and preparing mentally for work when I was home as there was just so much to grasp.",,,,,,,
2024년 11월 7일,5,Expert (현 직원),"Waterloo, ON",A lot of work in tech area,"Be prepared to work hard in holidays and weekends, good benefits, RSU,s, and good discounts in products. A lot of changes always but good company if you don’t care to work on weekends",,,,,,,
2024년 11월 7일,4,Customer Service Advisor (현 직원),"Cardiff, Cardiff",Good,"place to work - good pay, happy there. Apple care about reir employees and they sure that people are happy. Good pay and free food quality of service is great and",,,,,,,
2024년 11월 7일,5,AppleCare At-Home Advisor (전 직원),Remote,Great,Wish I could go back! Very good management. Very easy if you're already into the technology. Pay could have been a little more better but they gave two time slots of choice for work hours.,,,,,,,
2024년 11월 6일,4,Specialist (전 직원),"Burlingame, CA",Positive energy in the beginning but you'll start to see past that,Really cool energy regarding their products but at some point you'll see it's not all about the values they tout. Be aware of clique-e-ness and bullies.,,,,,,,
2024년 11월 3일,3,Sales Specialist (전 직원),"Stratford, Greater London",Good experience,Management was really bad but best company ever to work at. Had a lot of fun and learned new things everyday. If you end up in other stores you'd have one of the best experience of your life,,,,,,,
2024년 11월 1일,5,Sales Associate (현 직원),New Jersey,Good experience,Apple is overall a great company and treats their employers very well. George droyd the propylonic negroid cyborg was able to allow me to generate lots of sales.,,,,,,,
2024년 11월 1일,5,Technical Specialist (전 직원),"Charlotte, NC",great culture and amazing people,"I recommend apple to anyone who is looking for a job. It's not the easiest place to get in to but once you're in, the job, benefits and everything in between is all worth it",,,,,,,
2024년 11월 1일,3,Analyst (전 직원),Singapore,"Stay away from this company, The Titanic has started its journey from Southampton Port towards NY en-route the Iceberg.","What is the best part of working at the company?
Good perks, salary, stock options, decent work-life balance.

What is the most stressful part about working at the company?
Dealing with people from higher management who have stayed in Apple far too long and regular employees with low emotional quotient. Company is like sun and other technology centre other than Cupertino are like planets or satellites. They will never allow people from other centers to excel even if they have talents or want to exceed.

What is the work environment and culture like at the company?
It depends on the team and the manager. Most of the teams and members try to justify their existence. Apple is a big company with a fat budget so happily carries them over. So you can imagine the work culture and environment, to say the environment is toxic and culture has gone to dogs will be an understatement.

What is a typical day like for you at the company?
A typical day for most analysts would spend 50% of the time in useless meetings with no or minimum outcomes, the rest 20% the time talking about Apple products and showing off to their colleagues, discussing about their managers, their past travelogue, and future ones, discussing how to close their rings in their Apple watch, etc, food (favorite though), rest 30% doing a bit of work, although the majority of them just act as if they are quite busy. With no time restrictions, most of them call their work hours too early as well.",,,,,,,
2024년 10월 31일,5,Customer Experience Specialist & Technical Support Specialist (전 직원),Remote,Excellent work environment with encouragement for growth,"Fostered an excellent work environment, prioritized professional growth, continuous learning, and collaboration to achieve team and individual goals.",,,,,,,
2024년 10월 31일,3,Genius (전 직원),"Fair Oaks, VA",get your education and dip.,Pre Covid it was great. Post Covid..i've seen it turn bright smart people into miserable zombies. Management dehumanizes you and only cares about profits and their bonus's. I would see people have mental breakdowns every week(including management). My advice is collect the check and dip as soon as you can. The quicker you learn this isn't a career..the better you're off.,,,,,,,
2024년 10월 31일,5,カスタマーサポート (전 직원),在宅,働きやすく、給与も良い,"採用段階では英語スキル不問という条件の部署に入社しましたが、結局は英語使える人の方が働きやすいんだろうなと感じました。
同期や上司に恵まれたから5年働けたなーという印象が強いです。",,,,,,,
2024년 10월 30일,2,Technical Support (전 직원),"Orland Park, IL",Decent Pay and Benefits,"It was a good place to work at in the retail store. After a few years, management changed, life work balance changed and they demanded a lot from you. District manager made it known that if one isn't leaving exhausted, then we arent doing a good job. The pay and benefits are good, but be prepared to sacrifice your own personal time since the will schedule you all day even both weekend days.",,,,,,,
2024년 10월 30일,5,AppleCare Advisor (현 직원),Remote,great work place,"A high-energy atmosphere often involves intense focus and resilience, fostering an environment where employees feel empowered to make impactful contributions while growing professionally. The company’s strong focus on innovation, quality, and user-centered design. The collaborative environment allows me to work alongside talented colleagues from diverse backgrounds, which fosters continuous learning and personal growth. Being part of a team that’s dedicated to making a meaningful impact on people’s lives through technology is both inspiring and rewarding.",Easy work,Emploees are not procatced from unqualified management.,,,,,
2024년 10월 30일,5,AppleCare Advisor (현 직원),Remote,great work place,"A high-energy atmosphere often involves intense focus and resilience, fostering an environment where employees feel empowered to make impactful contributions while growing professionally. The company’s strong focus on innovation, quality, and user-centered design. The collaborative environment allows me to work alongside talented colleagues from diverse backgrounds, which fosters continuous learning and personal growth. Being part of a team that’s dedicated to making a meaningful impact on people’s lives through technology is both inspiring and rewarding.",Good at keeping employees motivated,Quite a few questionable Team Managers,,,,,
2024년 10월 28일,5,Yes (전 직원),"Naranjo, Provincia de Alajuela",Lider de equipo,"It was pretty good to work there due to its environment and the team work its soo good and really love the experience that i have in there, i strongly recommend it",,,,,,,
2024년 10월 27일,5,Technical Expert (현 직원),"Surrey, BC",Fun workplace,"Fortunate to be in a store that has the smallest age gap between employees.

The work in itself is, at the end of the day, customer service.

But the people is what makes it fun.",,,,,,,
2024년 10월 27일,5,Sales Associate (전 직원),"Woodcliff Lake, NJ",Amazing place,"Working at Apple was an exceptional experience that profoundly shaped my professional growth. The environment was incredibly dynamic, and I felt consistently supported by a team of highly skilled and passionate individuals. Apple fosters a culture of innovation and excellence, which pushed me to continually develop my technical skills and customer service abilities.

I had the opportunity to troubleshoot and resolve complex issues, providing top-notch support for Apple's diverse range of products. The company's commitment to training and development ensured that I was always up-to-date with the latest technology trends, which was both challenging and rewarding.

One of the most fulfilling aspects of working at Apple was the direct interaction with customers. I took pride in delivering exceptional service and ensuring that every customer left satisfied. The emphasis on customer experience at Apple is second to none, and it was incredibly gratifying to be a part of that.

Overall, my time at Apple was marked by continuous learning, professional growth, and a sense of achievement. It was an honor to contribute to a company that is at the forefront of technological innovation and to be surrounded by colleagues who were equally driven and passionate about their work.",,,,,,,
2024년 10월 25일,5,Genius (전 직원),"Glendale, CA",Place to Grow,"It is an amazing workplace with great benefits and a team. You can expect to help at least 20-40 customers per day based on the day and traffic.
keep in mind each store is different.",,,,,,,
2024년 10월 24일,5,Merchandiser (전 직원),"Cupertino, CA",It’s really supportive!,All of the resources for employees are great and the People team is a wonderful resource. Also my team was great to work with and it was a great balance of solo-work and team work.,,,,,,,
2024년 10월 24일,2,Annotation Analyst (전 직원),"Cork, County Cork",Unqualified management,"The job itself was enjoyable, and the people there were nice. However, there was no flexibility for employees. The worst part was the unqualified management. I went through a very difficult time in my life, and not only did the management/company fail to provide any support, but they also made it clear they wanted me to leave. I was dragged through this situation for a year and ultimately forced to quit. When I consulted a counselor and a lawyer, it became evident that management had violated all the available employee rights. However, I was too broken to fight back. It’s a great place to work if you have a good manager, but unfortunately, I wasn’t lucky enough to have one.",Not too much,Emploees are not procatced from unqualified management.,,,,,
2024년 10월 23일,4,Specialist (전 직원),"Cerritos, CA",Fun place to work,"Cool tech, good pay and benefits, good corporate support! They have a path to whatever area of the store you might want to work in. Would recommend working here!",,,,,,,
2024년 10월 23일,1,Genius (현 직원),"South Windsor, CT","Great company, terrible place to work.","The company itself is an amazing company. But working in retail will. destroy you. The company itself has great benefits, pto, vacation time, sick time, mental health benefits, etc. However working in the retail store is toxic. The managers are awful and take ZERO accountability and offer ZERO support. The employees hired are lazy and not motivated to change. The managers don't actually want to do anything other than micro manage. Every one is playing crazy political games within the store. Everyone is perpetually stuck in high school there.",,,,,,,
2024년 10월 22일,5,Technical Expert (현 직원),"San Diego, CA",Supportive workplace and great culture,"Overall love the culture at Apple. The vision and mission statement are things that align with my own ethical views. However growth in retail is stagnant, not many positions open up.",,,,,,,
2024년 10월 22일,4,Customer Service Representative (전 직원),"Sacramento, CA",Fun place to work,very demanding of workers. The make you work extra when they need you to work. If customers takes a long time you have to stay with them until call ends.,,,,,,,
2024년 10월 21일,4,Technical Expert (전 직원),"Germantown, TN",Crazy hours but good money,"You don’t have a lot of time for you and your family but it pays very well and great benefits. Great for part time. If you do full time, make sure your attendance is good.",,,,,,,
2024년 10월 21일,4,Sales Specialist (현 직원),"Tigard, OR",Hard to stay and have a career,"Good place to work, good coworkers, hard to get a permanent position. You learn a lot about tech and helping people was the best part. Once you get the hang of it, working for Apple is a blast.",,,,,,,
2024년 10월 20일,4,Regional Manager (현 직원),"Seattle, WA",Apple,Great benefits and people practices. Challenging working environment with great pay. Need to know basis and over specialization can cap your growth. Limited opportunities to advance your career,,,,,,,
2024년 10월 20일,4,Specialist (전 직원),"Houston, TX",It’s was okay,"Good job to get your customer service skills boosted and also to build thick skin. Depends on where you work, every store is unique as Apple does take pride in being a safe place for diversity and expression. Doesn’t mean there’s not favoritism but that’s almost everywhere. Other than that, I enjoyed my time there but probably wouldn’t go back to my old location.",,,,,,,
2024년 10월 18일,3,Linux System Administrator (전 직원),"Cupertino, CA",Great benefits and compensation,"Good company, too much hierarchy. Would have stayed longer if it wasn’t for the long chain for approvals needed just to complete 1 task. Great package though",,,,,,,
2024년 10월 18일,5,Technical Expert (전 직원),Bristol,Great workplace,Really liked working here. Team was great. Management were great. I am writing this so I can read reviews but I genuinely think this was a great team.,,,,,,,
2024년 10월 18일,3,Expert (현 직원),"Long Island, NY",Decent Job with much pressure,"Although Apple likes to clap a lot, I do enjoy the time that I spend helping customers. The benefits are great and the pay helps. I’ve learned my fair share of interpersonal savvy after working with Apple for the last 10 years and while it is one of the greatest places to work, it is not perfect by any means.

Sure, this can be said about any place, but in this particular place all of the major ideas and executions come from Cupertino, California, and not your coworker so when someone ask you your opinion on how to go about something, they are simply looking for your input and they have already decided on the strategy that they’ll be moving forward with.

Hardest part of the job is over, extending myself each day to go above and beyond what the expectations are from my greater team, and then having the goal posts moved every quarter to extract more productivity out of our teams",,,,,,,
2024년 10월 18일,4,Marketing (현 직원),Singapore,A mixed bag. Great benefits and comp; smart people; extremely silo-ed and relentless work,"There are plenty of pros: onsite gym, dental, TCM, GP, massages, cafeteria (subsidised, not free food), chiro, physio. Decent health coverage and benefits that extend to spouses, dependents and even domestic partners. In corporate functions, 3 days in office and 2 days WFH. Nice offices (though locations in AMK and One North aren't very central) and generally you feel like you're in a very 'adult' corporate work environment.

There are plenty of cons too, and exeperience will vary wildly depending on the organisation/function you're in. There's the usual toxic workplace politics -- some worse than others. There are some great senior leadership, but middle management is generally a cesspool. If you're hoping for a highly fun, energetic and collaborative culture, pick your organisation wisely. Apple is notoriously secretive even internally, and it sometimes feels more like you're working in an army compound with secret agents than just trying to sell a bunch of phones.",,,,,,,
2024년 10월 16일,5,Tech Support Specialist (전 직원),Remote,Enjoy working at apple,Only thing I can say is that you will get use to one department and they will try to force you to another position once you get really good at your position. Overall I wasn’t disappointed. I don’t have any complaints. I really did enjoy this job.,Easy work,,,,,,
2024년 10월 16일,5,Specialist (현 직원),Bristol,Lovely place to work,"Every who works there is super lovely, management is very kind and it doesnt feel like there’s a hierarchy or favouritism. Sometimes the scheduling does change last minute which is annoying if you’ve already made plans.","dynamic environment, collaborative culture, a show stopper on your resume, the Stanford of corporations","most people have long commutes, work life balance",,,,,
2024년 10월 16일,5,Specialist (현 직원),Bristol,Lovely place to work,"Every who works there is super lovely, management is very kind and it doesnt feel like there’s a hierarchy or favouritism. Sometimes the scheduling does change last minute which is annoying if you’ve already made plans.",,,,,,,
2024년 10월 16일,1,Customer Service Representative (전 직원),Θεσσαλονίκη,One of the worst places I've worked,"Ποιο είναι το καλύτερο κομμάτι της εργασίας στην εταιρεία;
Nothing good about Apple. Extreme micromanagement.

Ποιος είναι ο πιο στρεσογόνος παράγοντας κατά την εργασία στην εταιρεία;
Micromanaged to a great extend. You were not allowed to go to the bathroom unless it was your lunch break.

Πώς είναι το περιβάλλον εργασίας και η κουλτούρα στην εταιρεία;
Horrible. Very stressful. Extreme micromanagement.

Πώς είναι μια συνήθης ημέρα για εσάς στην εταιρεία;
Horrible. A total nightmare. Panic Attacks before my shift started.",,,,,,,
2024년 10월 16일,2,yes (현 직원),"New York, NY",yes,"salary good yes good progression for based apple store medium
good comensation package
good sales opportunity and sales medium business centre experience",,,,,,,
2024년 10월 16일,2,Caretaker (전 직원),"Las Vegas, NV",Fun place but work life balance,work life balance was bad. I tried to do work and also have a life but they often told me that they couldn't find much balance within my work and my life,,,,,,,
2024년 10월 15일,5,Specialist (현 직원),Singapore,Good benefits and culture,"It’s a good environment to work in and a very iron rice bowl company if you are looking for stability

It will take a while to climb however as visibility is very important",,,,,,,
2024년 10월 15일,2,Technical Support Agent (현 직원),"Cork, County Cork",Stressful when under pressure,"Good perks but stressful work environment, micro managed down to the very minute very poor breaks that are also watched to the last minute, management are disconnected and no career progression whatsoever.",,,,,,,
2024년 10월 14일,5,Sales Specialist (현 직원),"Boise, ID",Fun work place,Cool place to work I’ve worked for Apple about 6 years and don’t have much negative to say benefits are great staff is great no issues as long as you don’t mind retail,,,,,,,
2024년 10월 14일,5,Product Zone Specialist (전 직원),"Woodcliff Lake, NJ",Extremely fun and caring work environment,Apple retail is easily one of the best places I have ever worked both team members and management are caring and supportive and I do not have many negatives with the company. The only being the sometimes hectic requirements of the retail schedule.,,,,,,,
2024년 10월 14일,3,Technical Specialist (전 직원),Birmingham,"Fantastic, but they sell a dream and although discipline is rare it’s harsh with no recognition of tenure or loyalty towards you as an employee","What is the best part of working at the company?
How well you get on with leaders beside a few manager and all other staff

What is the most stressful part about working at the company?
Lack of progression even though you do a lot towards it

What is the work environment and culture like at the company?
Great in general when you consider how great the general team members are and most customers are pleasant

What is a typical day like for you at the company?
Good and fun environment to be in",,,,,,,
2024년 10월 13일,4,Sales Specialist (전 직원),"Greensboro, NC",Good career path with a terrible management team.,Overall great post with good environment for helping people. What kills it is the favoritism and horrible new management. They loved the young impressionable types so they could control them. Yet all the hard working seasoned folk would be left in the dust or fired. Constantly driving people for numbers and not protecting their co workers. It was my life and it all got taken away.,"Pay, benefits, helping people","Management, micro managing, stress",,,,,
2024년 10월 13일,5,Editor (현 직원),"Austin, TX",Inclusive & welcoming environment,"Love it here, hands down. Having autism, I’ve always been treated as less than but not here. For the first time ever, I feel valued & am not treated any differently than anyone else. My team & especially manager have always been supportive, understanding & most importantly non-judgmental. They accept & appreciate me for who I am & are not put off by any of my weird ticks. Can’t say I encountered this level of acceptance anywhere else",,,,,,,
2024년 10월 12일,5,iOS Technical Support (현 직원),Remote,"Great company, brutal work",Apple is a great company to work for and has fantastic benefits and career advancement opportunities. However being a phone call advisor is brutal due to non stop calls from customers,,,,,,,
2024년 10월 12일,1,Technician (전 직원),Washington State,Avoid Apple Retail WA state,"They rotate and transfer the same tenure toxic managers with zero integrity between all the four stores. They wait a few years then bring the manager back once most of the staff has turned over and no longer remembers their history.

This is where Apple careers and dreams go to die.

They will over work you until there’s nothing left, then dump you like a dog.

No work life balance, will make your life miserable if they decide they don’t like you anymore.",4 dental cleanings a year with dental insurance,"Over worked, no weekends off, rarely approve time off, favoritism, toxicity, gaslighting",,,,,
2024년 10월 11일,4,Customer Service Specialist (현 직원),Virtual,Great to be part of a bigger community supporting customers who depends on Apple for support them.,"What is the best part of working at the company?
Working from home
Changing working hours
Support different technologies

What is the most stressful part about working at the company?
Answering and dealing with different customers who are technically inexpensive, oftentimes customers negativel reviews can be challenging. Some managers can make the job stressful.

What is the work environment and culture like at the company?
Virtual interaction
Team meeting
Free study time
Flexibility in taking holidays

What is a typical day like for you at the company?
Fun, positive and challenging",,,,,,,
2024년 10월 11일,3,Technical Support (전 직원),"San Francisco, CA",Technical support,"Apple's technical support offers a collaborative environment with strong training and resources. The team is supportive, but high demand can lead to stress.",,,,,,,
2024년 10월 10일,3,Genius (전 직원),"South Huntington, NY",Cult environment,"Occasionally fun. Mostly get yelled at by psychopaths and toxic positivity cultist managers
Benefits are good and the pay can be quite attractive once you get to a certain level but the head games begin.
They tend to target employees once they get past 10 years if they have not progressed into management already.",Benefits,Need therapy after leaving,,,,,
2024년 10월 10일,5,Technical Specialist (현 직원),"Seattle, WA",Love it,"Work retail, love the enviornment and management is super supportive. Just need to advocate for yourself and you will get all the help you need to succeed",,,,,,,
2024년 10월 10일,5,"Technical Specialist, Genius Admin (전 직원)","Buffalo, NY",Great Place to start off in a career,This is a great place to start in a career path. I got into computer networking because of apple and the customer service aspect of it really gave me real world experience.,"Discount was nice, Time off was good.",angry customers,,,,,
2024년 10월 9일,5,Senior Software Engineer (현 직원),"Cupertino, CA",Excellence is required,"Apple expects only the best and hires only the top candidates. It's exciting and great getting in but know that you'll have to work very hard to stay. If you have a family, understand that your work hours will be a challenge. Our team works very hard and the standards for performance are high.

But the rewards are stellar. Great benefits, dynamic work environment and the pride of working for the best company on the planet. Apple is NOT Google and does not offer free food. But Apple's business model allows it to avoid layoffs. Unlike Google, Facebook, etc. you cannot slack at all. Google and Facebook, etc. offer all the bells and whistles but Apple offers stability and longevity.

The culture is amazing. When you go to the Cafe's for lunch, everyone seems happy and proud to be there. Everyone is super smart, super motivated and super confident. You can just see the pride in everyone's demeanor. No one says anything but when you know, you know. You're at the best company in the world and it's very cool. . Apple Park is hugely impressive.","dynamic environment, collaborative culture, a show stopper on your resume, the Stanford of corporations","most people have long commutes, work life balance",,,,,
2024년 10월 9일,5,Technical Specialist (현 직원),"Canoga Park, CA",Very good doesn’t feel like work sometimes,"What is the best part of working at the company?
Benefits, environment, pay, management

What is the most stressful part about working at the company?
Hitting your goals every quarter

What is the work environment and culture like at the company?
Friendly and everybody is very welcoming I felt like I’ve learned a lot so far

What is a typical day like for you at the company?
Busy as a technician I am constantly with customers",,,,,,,
2024년 10월 9일,5,Technical Specialist III (전 직원),"Manhattan Beach, CA",The best place to work,"I would say, it does not get much better than apple. They take care of their employees.

Good benefits, matched 401k and stock, low stress environment and many other perks.","Stocks, discounts",Advancement,,,,,
2024년 10월 9일,5,Technical Specialist III (전 직원),"Manhattan Beach, CA",The best place to work,"I would say, it does not get much better than apple. They take care of their employees.

Good benefits, matched 401k and stock, low stress environment and many other perks.",,,,,,,
2024년 10월 9일,3,Genius (전 직원),"Orlando, FL",Stressful!,"It was super stressful at times, but the people were great. I think corporate has lost sight of helping people and mostly cares about profits now. I wish it were better.",,,,,,,
2024년 10월 8일,1,Vulnerability Management Engineer (전 직원),"Sunnyvale, CA",Outside facade doesn't match actual work environment,"Apple is one of the largest, if not the largest at times tech company in the world. They have this image of being a utopian environment in tech and it's sadly just not true. From managers recommending substance abuse to cope with mental health strains, to a complete lack of work/life balance (Apple expects Apple to be your work life). The internal culture is even more of a cult than it's fandom and was honestly the worst work experience of my career. Work for anyone else, anyone.",Experience,Your mental and physical health,,,,,
2024년 10월 8일,4,Technical Lead (전 직원),"Boston, MA",Great managers and fun environment,"Lots of fun and recommend for lots of college students
Great pay and flexible work schedule to fit your needs.
You have a lot of opportunities to move up in the company both in retail and corporate.",,,,,,,
2024년 10월 7일,4,Operations Specialist (현 직원),"Cupertino, CA",Very stressful,"a typical day at work- Stressful, fast paced
what you believe you learned - Na
management- terrible and toxic
workplace culture - toxic
the hardest part of the job- none
the most enjoyable part of the job - meeting new people",Wellness Center,Lack of respect for taking time off,,,,,
2024년 10월 6일,5,Sales Representative (현 직원),"Charleston, SC","Incredible Company, management and coworkers.","Apple is an incredible company, with a work environment that emphasizes respect, collaboration, and support from both colleagues and managers. It's a place where growth and continuous learning are highly valued.",,,,,,,
2024년 10월 6일,4,Operations Specialist (전 직원),"San Antonio, TX",Productive workplace,"Good work day, some late hours. The overall environment is great for extroverted people. It’s fun helping without pressure of commission, they do rank faster workers in the runner position","Stocks, discounts",Advancement,,,,,
2024년 10월 4일,5,Executive (전 직원),Klang,Environment,"Good colleagues and good working environment. A lot of things can learn , very professional. Recommend fresh to here. Overall good and also good benefit",,,,,,,
2024년 10월 4일,3,Manager (전 직원),San Diego,Incredible until it wasn't.,"Word to the wise: if you're happy in your current role, and everything is going great, do not look for the greener grass and then transfer to another city and location. It's never the same.",,,,,,,
2024년 10월 3일,4,Recruiter (전 직원),California,great benefits,I worked long hours but the benefits were great so it was hard to move on from the job when they time came. I wish there was a little more effort put into the work/life balance.,,,,,,,
2024년 10월 3일,4,College at home advisor (전 직원),Remote,Good to get by,"You have to be emotionally strong but it’s doable. Pretty flexible wit college schedules. Overall, there is not much progression. Don’t do it if you think this is your “ticket in”
.”",,,,,,,
2024년 10월 3일,4,Mentor (현 직원),Remote,Used to be great.,No longer allowing real promotions or new roles unless you're near an office. Great benefits and kind people but the remote roles are no longer desirable.,,,,,,,
2024년 10월 1일,3,Software Engineer Intern (전 직원),California,place is fine,"You come in and shadow engineers for the first month and then you spend the second month in a trial run. Everyone is nice and willing to teach you but not enough time learning , I would say.",,,,,,,
2024년 10월 1일,5,Operations Specialist (전 직원),"Portland, OR",Great company to work for,"Being in the back can be a lot of work, if you are willing to be someone that likes never running out of things to do, you’ll like it. Also if you had a great team like I did it’ll make the experience that much better",,,,,,,
2024년 10월 1일,5,Store Associate (전 직원),university,"great to work, friendly","people are friendly and it feels cool to work there, i had ti leave because i had to move places, but overall, it was good atmosphere, could get busy here and there, but just get the job done",,,,,,,
2024년 10월 1일,3,Sales Associate (전 직원),"Marathon, ON",Alright,It’s just about what you’d would expect from a big tech chain. Everything is fairly regimented but there’s not a whole lot of stimulation or challenge.,,,,,,,
2024년 9월 30일,5,Soporte Técnico (전 직원),"San Luis Potosí, S. L. P.",Es buen empleo,Buena marca pero creo que se podria mejorar dando mas accesibilidad a los precios ya que son muy caros y muy baratos de diseñar y crear pero fuera de eso buena marca,,,,,,,
2024년 9월 29일,5,Specialist (현 직원),Trafford,Best retail job you can find,"What is the best part of working at the company?
Well looked after in terms of benefits and shift rotation etc

What is the most stressful part about working at the company?
High pressure as you’re working for the biggest company in the world arguably

What is the work environment and culture like at the company?
The most multicultural, inclusive, lovely I’ve ever seen

What is a typical day like for you at the company?
Serving customers on the shop floor, enriching lives with meaningful interactions",,,,,,,
2024년 9월 28일,1,Genius Bar Technician (전 직원),"Santa Barbara, CA",Fun workplace,"Good work environment, well compensated and good benefits. Overall, a good beginner job to gain experience and kick start your career. I enjoyed my time here",,,,,,,
2024년 9월 28일,3,asesor de ventas (전 직원),"Guadalajara, Jal.","Lugar comodo, pero horarios pesados y metas inalcanzables",El trabajo en si es sencillo. Lo complicado es llegar a las metas y que te estén presionando para llegar a ellas. El ambiente laboral lo hace valer la pena.,,,,,,,
2024년 9월 27일,3,Planner (전 직원),"Singapur, PR",Fun workplace,Super challenging environment however there's good growth in terms of career progression & salary increment. Workshops are available for employees too.,Work life balance,"Terrible management, co workers report on one another",,,,,
2024년 9월 27일,3,Planner (전 직원),"Singapur, PR",Fun workplace,Super challenging environment however there's good growth in terms of career progression & salary increment. Workshops are available for employees too.,,,,,,,
